iter	Passed	Remaining
0	173	86674
1	178	44432
2	182	30294
3	187	23264
4	191	18979
5	195	16114
6	199	14049
7	203	12536
8	207	11346
9	212	10390
10	216	9611
11	220	8953
12	224	8401
13	228	7923
14	232	7509
15	236	7153
16	240	6834
17	244	6548
18	248	6288
19	252	6060
20	256	5851
21	260	5659
22	264	5488
23	268	5330
24	272	5179
25	277	5053
26	281	4927
27	285	4813
28	290	4710
29	294	4607
30	298	4510
31	302	4429
32	306	4344
33	310	4261
34	314	4182
35	318	4108
36	322	4037
37	326	3970
38	330	3908
39	334	3848
40	338	3790
41	342	3734
42	346	3683
43	350	3633
44	354	3583
45	358	3536
46	363	3502
47	367	3460
48	371	3420
49	375	3380
50	379	3344
51	384	3308
52	388	3272
53	392	3238
54	396	3208
55	400	3176
56	404	3144
57	409	3117
58	413	3087
59	417	3059
60	421	3031
61	425	3005
62	429	2981
63	433	2950
64	437	2924
65	441	2900
66	445	2878
67	449	2856
68	453	2832
69	457	2810
70	461	2789
71	466	2775
72	470	2754
73	474	2733
74	479	2716
75	483	2696
76	487	2677
77	491	2660
78	495	2641
79	499	2623
80	503	2604
81	507	2587
82	511	2570
83	515	2553
84	519	2535
85	523	2520
86	527	2504
87	531	2489
88	535	2472
89	539	2458
90	543	2443
91	547	2427
92	551	2413
93	555	2398
94	559	2386
95	563	2373
96	567	2359
97	572	2347
98	575	2331
99	578	2315
100	582	2302
101	587	2292
102	591	2279
103	595	2266
104	599	2253
105	603	2242
106	607	2230
107	611	2218
108	615	2209
109	620	2199
110	624	2188
111	628	2176
112	632	2165
113	636	2155
114	640	2143
115	644	2132
116	648	2121
117	652	2110
118	656	2100
119	660	2090
120	664	2081
121	668	2071
122	672	2062
123	676	2051
124	680	2042
125	685	2033
126	689	2024
127	693	2014
128	697	2006
129	701	1997
130	705	1988
131	709	1979
132	714	1971
133	718	1961
134	721	1952
135	725	1942
136	730	1934
137	734	1926
138	738	1917
139	743	1910
140	747	1902
141	751	1894
142	755	1885
143	761	1881
144	765	1874
145	769	1865
146	773	1857
147	778	1852
148	782	1844
149	786	1835
150	791	1830
151	796	1822
152	799	1814
153	803	1805
154	808	1799
155	812	1791
156	816	1782
157	819	1774
158	823	1767
159	827	1758
160	830	1749
161	835	1742
162	839	1735
163	843	1728
164	847	1721
165	851	1713
166	856	1707
167	860	1701
168	864	1694
169	868	1686
170	873	1680
171	877	1673
172	881	1666
173	885	1658
174	889	1651
175	893	1644
176	897	1637
177	901	1630
178	905	1623
179	909	1616
180	913	1609
181	917	1602
182	921	1597
183	925	1589
184	929	1582
185	933	1575
186	937	1569
187	941	1562
188	945	1555
189	949	1549
190	954	1543
191	957	1536
192	962	1530
193	966	1524
194	970	1518
195	975	1512
196	978	1505
197	983	1499
198	987	1493
199	990	1486
200	994	1479
201	998	1473
202	1002	1467
203	1006	1461
204	1010	1454
205	1014	1448
206	1018	1442
207	1023	1436
208	1026	1429
209	1030	1422
210	1033	1415
211	1036	1408
212	1040	1401
213	1043	1394
214	1047	1388
215	1050	1381
216	1054	1374
217	1057	1367
218	1060	1361
219	1064	1354
220	1067	1348
221	1071	1341
222	1074	1334
223	1078	1328
224	1081	1321
225	1084	1315
226	1088	1308
227	1091	1302
228	1095	1296
229	1098	1290
230	1102	1283
231	1105	1277
232	1109	1270
233	1112	1264
234	1116	1258
235	1119	1252
236	1122	1246
237	1126	1240
238	1129	1233
239	1133	1227
240	1136	1221
241	1140	1215
242	1143	1209
243	1146	1203
244	1150	1197
245	1153	1191
246	1156	1184
247	1160	1179
248	1163	1172
249	1166	1166
250	1170	1161
251	1173	1155
252	1177	1149
253	1181	1143
254	1184	1138
255	1187	1132
256	1191	1126
257	1195	1120
258	1198	1115
259	1201	1109
260	1204	1103
261	1208	1097
262	1211	1092
263	1215	1086
264	1218	1080
265	1221	1074
266	1225	1069
267	1228	1063
268	1231	1057
269	1235	1052
270	1238	1046
271	1241	1041
272	1245	1035
273	1248	1030
274	1252	1024
275	1255	1019
276	1259	1013
277	1262	1008
278	1265	1002
279	1269	997
280	1272	991
281	1276	986
282	1279	981
283	1282	975
284	1286	970
285	1289	965
286	1293	959
287	1296	954
288	1299	949
289	1303	944
290	1307	938
291	1310	933
292	1313	928
293	1317	923
294	1320	917
295	1324	912
296	1327	907
297	1330	902
298	1334	897
299	1337	891
300	1341	886
301	1344	881
302	1347	876
303	1351	871
304	1355	866
305	1358	861
306	1362	856
307	1365	851
308	1369	846
309	1372	841
310	1376	836
311	1379	831
312	1383	826
313	1386	821
314	1390	816
315	1393	811
316	1397	806
317	1400	801
318	1404	796
319	1407	791
320	1413	788
321	1417	783
322	1420	778
323	1424	773
324	1427	768
325	1430	763
326	1434	758
327	1437	753
328	1441	749
329	1444	744
330	1448	739
331	1451	734
332	1455	729
333	1458	724
334	1462	720
335	1465	715
336	1468	710
337	1472	705
338	1476	701
339	1479	696
340	1483	691
341	1486	686
342	1489	681
343	1493	677
344	1496	672
345	1500	667
346	1503	662
347	1506	658
348	1510	653
349	1513	648
350	1517	644
351	1520	639
352	1524	634
353	1527	630
354	1531	625
355	1534	620
356	1537	616
357	1541	611
358	1544	606
359	1548	602
360	1551	597
361	1554	592
362	1558	588
363	1562	583
364	1565	578
365	1568	574
366	1572	569
367	1575	565
368	1579	560
369	1582	556
370	1586	551
371	1589	547
372	1593	542
373	1596	537
374	1599	533
375	1603	528
376	1607	524
377	1610	519
378	1613	515
379	1617	510
380	1620	506
381	1623	501
382	1627	497
383	1630	492
384	1633	488
385	1637	483
386	1641	479
387	1644	474
388	1647	470
389	1651	465
390	1654	461
391	1658	456
392	1661	452
393	1664	447
394	1668	443
395	1671	439
396	1675	434
397	1678	430
398	1681	425
399	1685	421
400	1689	417
401	1692	412
402	1696	408
403	1699	403
404	1702	399
405	1706	395
406	1709	390
407	1713	386
408	1716	381
409	1720	377
410	1723	373
411	1726	368
412	1730	364
413	1733	360
414	1737	355
415	1740	351
416	1744	347
417	1747	342
418	1750	338
419	1754	334
420	1757	329
421	1760	325
422	1764	321
423	1767	316
424	1771	312
425	1774	308
426	1777	303
427	1781	299
428	1784	295
429	1787	291
430	1791	286
431	1794	282
432	1798	278
